  1.23669   1.90145   0.20000   1.20000
  2.11352  -0.19517   0.30000   1.40000
  2.98278  -1.34899   0.20000   1.60000
  3.87135  -6.42140   0.30000   1.20000
  5.50783  -6.20445   0.20000   1.40000
  6.74626  -9.14974   0.30000   1.60000
  7.41109 -12.14659   0.20000   1.20000
  8.44699 -13.34493   0.30000   1.40000
  9.34861 -14.56375   0.20000   1.60000
 10.16446 -15.58626   0.30000   1.20000
 11.17560 -16.32637   0.20000   1.40000
 11.85809 -17.63580   0.30000   1.60000
 12.88762 -17.86456   0.20000   1.20000
 14.05061 -17.48367   0.30000   1.40000
 15.15438 -18.61585   0.20000   1.60000
 16.42014 -17.24635   0.30000   1.20000
 17.00652 -17.96829   0.20000   1.40000
 18.07526 -12.69336   0.30000   1.60000
 18.63128 -18.25398   0.20000   1.20000
 20.70280 -12.68441   0.30000   1.40000
