  1.33343   8.43365   0.20000   1.20000
  2.46969  11.46688   0.30000   1.40000
  2.80364  15.59652   0.20000   1.60000
  4.00046  15.56544   0.30000   1.20000
  5.18323  20.55600   0.20000   1.40000
  5.66586  21.16630   0.30000   1.60000
  6.82541  29.06629   0.20000   1.20000
  7.64329  33.09135   0.30000   1.40000
  8.80296  34.41986   0.20000   1.60000
  9.65792  35.80643   0.30000   1.20000
 10.63990  39.34492   0.20000   1.40000
 12.48292  39.14740   0.30000   1.60000
 12.83448  44.32188   0.20000   1.20000
 13.93802  45.79094   0.30000   1.40000
 14.98339  49.75683   0.20000   1.60000
 16.09785  53.33996   0.30000   1.20000
 16.74771  55.50356   0.20000   1.40000
 17.81197  59.54537   0.30000   1.60000
 18.56691  61.87966   0.20000   1.20000
 20.64801  65.51835   0.30000   1.40000
