  1.00000   2.08030   0.63246
  2.00000  -0.41389   0.70711
  3.00000  -2.95545   0.63246
  4.00000  -5.23326   0.70711
  5.00000  -7.10087   0.63246
  6.00000  -9.99773   0.70711
  7.00000 -10.94114   0.63246
  8.00000 -13.17303   0.70711
  9.00000 -12.87790   0.63246
 10.00000 -13.53880   0.70711
 11.00000 -15.29503   0.63246
 12.00000 -16.26399   0.70711
 13.00000 -16.71574   0.63246
 14.00000 -17.97894   0.70711
 15.00000 -17.39271   0.63246
 16.00000 -17.83181   0.70711
 17.00000 -17.16079   0.63246
 18.00000 -16.45835   0.70711
 19.00000 -16.04184   0.63246
 20.00000 -14.82957   0.70711
