  1.00000   8.66685   0.63246
  2.00000  11.78281   0.70711
  3.00000  13.60729   0.63246
  4.00000  17.00076   0.70711
  5.00000  20.36645   0.63246
  6.00000  22.44310   0.70711
  7.00000  25.65083   0.63246
  8.00000  28.40549   0.70711
  9.00000  31.60592   0.63246
 10.00000  34.42987   0.70711
 11.00000  37.27980   0.63246
 12.00000  41.80486   0.70711
 13.00000  43.66895   0.63246
 14.00000  46.89670   0.70711
 15.00000  49.96678   0.63246
 16.00000  53.16308   0.70711
 17.00000  55.49543   0.63246
 18.00000  58.68661   0.70711
 19.00000  61.13383   0.63246
 20.00000  66.08002   0.70711
